text,label
"6-0 in the finals",pro_jordan
"Jordan is a better scorer and defender. He won more championships, MVPs, final mvps, scoring titles and dpoy's. Jordan holds the all-time record for PPG and playoffs PPG. He holds the single game record for points scored in the playoffs. Prime for prime, I don't think LeBrons individual seasons compare to Jordans. I don't find longevity a good enough argument to make somebody the goat just like it wasn't for Kareem. I respect LeBrons case and think hes very close, but I still got Jordan.",pro_jordan
"It's worth mentioning that Jordan consistently performed better in the playoffs. His regular season PPG is 30.1 and his playoff ppg is 33.4. that is a pretty significant increase for the post season. Defense tightens up in post season and the game is slower pace usually yet he plays better.",pro_jordan
"Mostly how good he was at playing basketball",pro_jordan
"I think he's better a bit better of a scorer, defender, and free throw shooter. Regardless of ring count, I think he's just a slightly better basketball player than LeBron ever was",pro_jordan
"Jordan was focused on winning. And really, not just winning, but beating you and making sure you knew it. LeBron is focused solely on LeBron.",pro_jordan
"The mental edge.",pro_jordan
"MJ didn't leave for another team and create superteams. MJ is not a career flopper. MJ didn't play in a touchfoul era. 2 threepeats in the handcheck & physical era. Mj killer instinct is umatched. Even refs are scared of him. MJ smaller in height & built, but has more accolades in a shorter career. MJ did not need to stat pad and chase records. Jordan brand.",pro_jordan
"The goal is winning. Jordan won 6 rings in 15 season. LeBron has won 4 in 23 seasons. LeBron also did it team hopping around the league to play with the cast of his choosing. Even still, less winning.",pro_jordan
"Despite his massive athleticism, Jordan was the most fundamentally sound player in the game. Jordan's intangibles and killer drive to succeed are different than LeBron. James Naismith invented basketball. Naismith taught Phog Allen. Phog taught Dean Smith. Dean taught Jordan. So Jordan was only 2 people removed from the inventor of the game.",pro_jordan
"I've consistently rooted against both and I feared Jordan taking over games. No lead was safe with him. He felt inevitable. I only got the same feeling with Curry at his peak. LeBron doesn't strike the same fear. He is a tough competitor, but beatable. I also hate how LeBron jumps ship and tries to stack the deck in his favor.",pro_jordan
"never any 2011 like playoff collapse. That is when we knew Lebron was mentally weak",pro_jordan
"Fr the only thing that stops me from saying lebrons the goat is 2011 and 2010 vs the Celtics I know it's stupid to put that much into 2 series but god it was bad",pro_jordan
"His mentality, other than that Lebron is better player overall. But if my life depends on 1 game i would choose Mike because i know hes gonna win, cant say same thing for Lebron. If you swap Lebron and Mike teams, Mike would definitely won 2011 and 2014 finals. Lebron is awesome player but has a weak mentality",pro_jordan
"I feel like I'm in bizarro world on here. Jordan is the better offensive and defensive player so how is LeBron better overall? Even LeBron fails the eye test against Jordan. I'm not saying lebron doesn't edge him in some spots but he was not the better player.",pro_jordan
